2026-09-13 12:59:41 | __main__                       | INFO     |   Run 19/30: 34.4 tok/s, TTFT=266.2ms, TPOT=22.2ms, VRAM=2316MB, Power=62.4W, J/tok=1.810
2026-09-13 12:59:45 | __main__                       | INFO     |   Run 20/30: 34.3 tok/s, TTFT=269.5ms, TPOT=22.2ms, VRAM=2316MB, Power=61.6W, J/tok=1.788
2026-09-13 12:59:48 | __main__                       | INFO     |   Run 21/30: 32.7 tok/s, TTFT=271.5ms, TPOT=23.6ms, VRAM=2316MB, Power=61.1W, J/tok=1.867
2026-09-13 12:59:52 | __main__                       | INFO     |   Run 22/30: 35.0 tok/s, TTFT=276.2ms, TPOT=21.6ms, VRAM=2316MB, Power=61.3W, J/tok=1.732
2026-09-13 12:59:56 | __main__                       | INFO     |   Run 23/30: 35.3 tok/s, TTFT=276.0ms, TPOT=21.3ms, VRAM=2316MB, Power=62.8W, J/tok=1.773
2026-09-13 12:59:59 | __main__                       | INFO     |   Run 24/30: 34.7 tok/s, TTFT=279.0ms, TPOT=21.7ms, VRAM=2316MB, Power=62.3W, J/tok=1.782
2026-09-13 13:00:03 | __main__                       | INFO     |   Run 25/30: 35.5 tok/s, TTFT=276.6ms, TPOT=21.2ms, VRAM=2316MB, Power=62.6W, J/tok=1.741
2026-09-13 13:00:07 | __main__                       | INFO     |   Run 26/30: 35.7 tok/s, TTFT=263.2ms, TPOT=21.1ms, VRAM=2316MB, Power=63.1W, J/tok=1.756
2026-09-13 13:00:10 | __main__                       | INFO     |   Run 27/30: 35.9 tok/s, TTFT=271.9ms, TPOT=20.8ms, VRAM=2316MB, Power=63.1W, J/tok=1.756
2026-09-13 13:00:14 | __main__                       | INFO     |   Run 28/30: 36.0 tok/s, TTFT=269.6ms, TPOT=20.9ms, VRAM=2316MB, Power=64.0W, J/tok=1.757
2026-09-13 13:00:18 | __main__                       | INFO     |   Run 29/30: 34.7 tok/s, TTFT=277.0ms, TPOT=21.8ms, VRAM=2316MB, Power=61.2W, J/tok=1.753
2026-09-13 13:00:21 | __main__                       | INFO     |   Run 30/30: 36.3 tok/s, TTFT=279.5ms, TPOT=20.5ms, VRAM=2316MB, Power=63.4W, J/tok=1.742
2026-09-13 13:00:21 | __main__                       | INFO     | 
--- Summary (ctx=1024) ---
2026-09-13 13:00:21 | __main__                       | INFO     |   tok/s:  35.2 ± 0.8
2026-09-13 13:00:21 | __main__                       | INFO     |   TTFT:   275.8 ± 5.6 ms
2026-09-13 13:00:21 | __main__                       | INFO     |   TPOT:   21.4 ± 0.7 ms
2026-09-13 13:00:21 | __main__                       | INFO     |   VRAM:   peak=2316MB, alloc=2020MB
2026-09-13 13:00:21 | __main__                       | INFO     |   GPU:    util=76%, power=62.6W, temp=85°C
2026-09-13 13:00:21 | __main__                       | INFO     |   Energy: 1.7663 J/token
2026-09-13 13:00:21 | __main__                       | INFO     | 
============================================================
2026-09-13 13:00:21 | __main__                       | INFO     | CONTEXT LENGTH: 2048
2026-09-13 13:00:21 | __main__                       | INFO     | ============================================================
2026-09-13 13:00:21 | httpx                          | INFO     | HTTP Request: HEAD https://huggingface.co/datasets/wikitext/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
